country,code,region,literacy_score,press_freedom_score,polarization_score,internet_penetration,institutional_trust,platform_1,platform_2,platform_3,p1_pct,p2_pct,p3_pct
Aruba,ABW,Latin America & Caribbean,0.968199996948242,0.54345,0.45856353591160226,0.68,0.7133499987792968,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",0.372700004577637,0.1788,0.9226519337016574,0.65,0.2563600018310548,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Angola,AGO,Sub-Saharan Africa,0.6623999786376951,0.5267000000000001,0.6364640883977901,0.3,0.5809799914550781,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Albania,ALB,Europe & Central Asia,0.976800003051758,0.5818,0.4519337016574586,0.79,0.7398000012207032,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Andorra,AND,Europe & Central Asia,0.9342856344506826,0.633,0.45856353591160226,0.79,0.753514253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",0.9880999755859381,0.2691,0.8983425414364641,0.65,0.5566999902343752,Instagram,YouTube,TikTok,0.88,0.85,0.7
Argentina,ARG,Latin America & Caribbean,0.9913999938964839,0.5614,0.22541436464088405,0.68,0.7333999975585936,WhatsApp,Instagram,Facebook,0.85,0.74,0.68
Armenia,ARM,Europe & Central Asia,0.998399963378906,0.7395999999999999,0.3237569060773481,0.79,0.8431199853515623,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
American Samoa,ASM,East Asia & Pacific,0.9342856344506826,0.54345,0.45856353591160226,0.73,0.699784253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Antigua and Barbuda,ATG,Latin America & Caribbean,0.989499969482422,0.54345,0.45856353591160226,0.68,0.7218699877929688,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Australia,AUS,East Asia & Pacific,0.9342856344506826,0.7515000000000001,0.06519337016574589,0.73,0.8246142537802731,Facebook,YouTube,Instagram,0.71,0.79,0.6
Austria,AUT,Europe & Central Asia,0.9342856344506826,0.7812,0.08508287292817684,0.79,0.842434253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Azerbaijan,AZE,Europe & Central Asia,0.9977999877929691,0.2547,0.8187845303867404,0.79,0.5519399951171876,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Burundi,BDI,Sub-Saharan Africa,0.714078166079164,0.45439999999999997,0.8187845303867404,0.3,0.5582712664316656,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Belgium,BEL,Europe & Central Asia,0.9342856344506826,0.8012,0.03314917127071826,0.79,0.854434253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Benin,BEN,Sub-Saharan Africa,0.513800010681152,0.546,0.45856353591160226,0.3,0.5331200042724609,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Burkina Faso,BFA,Sub-Saharan Africa,0.41442033530681,0.5225,0.839779005524862,0.3,0.47926813412272395,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Bangladesh,BGD,South Asia,0.79,0.3371,0.7900552486187845,0.43,0.51826,Facebook,WhatsApp,YouTube,0.6,0.48,0.55
Bulgaria,BGR,Europe & Central Asia,0.9834999847412109,0.6078,0.2983425414364641,0.79,0.7580799938964844,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",0.978199996948242,0.3024,0.8751381215469614,0.65,0.5727199987792968,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
"Bahamas, The",BHS,Latin America & Caribbean,0.9342856344506826,0.54345,0.45856353591160226,0.68,0.699784253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Bosnia and Herzegovina,BIH,Europe & Central Asia,0.9698999786376951,0.5633,0.450828729281768,0.79,0.725939991455078,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Belarus,BLR,Europe & Central Asia,0.99870002746582,0.25730000000000003,0.8342541436464088,0.79,0.5538600109863281,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Belize,BLZ,Latin America & Caribbean,0.87879997253418,0.6831999999999999,0.45856353591160226,0.68,0.7614399890136719,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Bermuda,BMU,North America,0.9342856344506826,0.54345,0.45856353591160226,0.91,0.699784253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Bolivia,BOL,Latin America & Caribbean,0.955500030517578,0.5409,0.37569060773480667,0.68,0.7067400122070313,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Brazil,BRA,Latin America & Caribbean,0.948005123042056,0.638,0.1270718232044199,0.68,0.7620020492168225,WhatsApp,YouTube,Instagram,0.76,0.82,0.6
Barbados,BRB,Latin America & Caribbean,0.9342856344506826,0.54345,0.14364640883977897,0.68,0.699784253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Brunei Darussalam,BRN,East Asia & Pacific,0.9608999633789059,0.5347,0.45856353591160226,0.73,0.7051799853515623,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Bhutan,BTN,South Asia,0.6491000366210941,0.3262,0.39226519337016574,0.43,0.45536001464843756,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Botswana,BWA,Sub-Saharan Africa,0.811900024414062,0.5764,0.3558011049723757,0.3,0.6706000097656248,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Central African Republic,CAF,Sub-Saharan Africa,0.42439998626708997,0.6015,0.6784530386740332,0.3,0.530659994506836,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
Canada,CAN,North America,0.9342856344506826,0.7875,0.08176795580110507,0.91,0.846214253780273,Facebook,YouTube,Instagram,0.67,0.81,0.58
Switzerland,CHE,Europe & Central Asia,0.9342856344506826,0.8398,0.024309392265193353,0.79,0.877594253780273,Facebook,WhatsApp,YouTube,0.45,0.35,0.3
